country_iso;country_name;year;Suhu;Curah_Hujan;Kelembapan;CH4_Agriculture;CO2_Agriculture;N2O_Agriculture;CH4_Buildings;CO2_Buildings;N2O_Buildings;CH4_Transport;CO2_Transport;N2O_Transport;CH4_Waste;CO2_Waste;N2O_Waste
ID;Indonesia;2013;25,49;3646,35;85,29;112,0846;5,0164;56,6587;12,1559;33,6079;2,5556;0,807315699;136,1180749;1,494339258;40,39099468;0,13902776;2,652136768
ID;Indonesia;2014;25,53;3068,76;84,03;114,958;5,1607;59,6116;11,5505;33,0419;2,3805;0,77539963;136,5869852;1,448262377;40,97518833;0,142579232;2,728322151
ID;Indonesia;2015;25,64;2797,76;83,06;115,4516;5,8387;62,258;10,1407;29,8407;1,9262;0,708771922;132,024991;1,346723125;42,09657847;0,146136948;2,822099057
ID;Indonesia;2016;25,99;3751,89;85,25;111,0243;5,4364;59,5162;9,3938;29,7682;1,7884;0,817365299;128,0996805;1,232581612;42,83471217;0,149653035;2,955731702
ID;Indonesia;2017;25,64;3663,54;85,3;115,0438;5,7918;63,8585;8,455;30,7103;1,6127;0,814678793;135,043682;1,295067857;44,21256999;0,153167041;3,064263107
ID;Indonesia;2018;25,65;3209,17;84,12;117,9322;6,1572;65,3101;7,1801;30,0968;1,2945;0,843204402;150,9892094;1,504865405;45,58739084;0,156678965;3,155743698
ID;Indonesia;2019;25,79;2869,42;83,14;114,1115;5,9428;65,26;5,7825;28,5787;0,9728;0,86872981;149,4780949;1,539326769;46,26782494;0,160192971;3,166562752
ID;Indonesia;2020;25,85;3613,18;84,96;114,4558;5,5838;62,8125;4,7533;28,6709;0,8316;0,764291593;126,8163643;1,375517209;47,90946514;0,163713221;3,199066405
ID;Indonesia;2021;25,66;3505,79;84,86;113,2716;5,8428;63,4552;3,7318;30,9388;0,7571;0,812074589;135,6673542;1,494074697;48,17009164;0,167191842;3,230913892
ID;Indonesia;2022;25,58;3563,67;84,9;115,2647;5,913;64,6238;3,3393;30,4821;0,674;0,881612129;147,5567534;1,615807838;48,13913794;0,170699603;3,28595033
ID;Indonesia;2023;26,17;2953,84;83,29;114,1493;5,8916;66,0531;3,3402;30,5628;0,675;0,888152017;149,5384914;1,686739618;48,57612605;0,174280959;3,341925585
BN;Brunei;2013;26,46;3051,43;85,86;0,026745041;147,5567534;0,08990198;0,000591191;0,148945951;0,000166947;0,009061527;1,326053288;0,01365291;0,090615227;0,00165041;0,002367164
BN;Brunei;2014;26,24;3135,71;86,39;0,025810209;149,5384914;0,086509567;0,000671454;0,175533829;0,00023179;0,008793207;1,35099427;0,013083758;0,091789073;0,00165041;0,002412079
BN;Brunei;2015;26,54;2921,15;86,69;0,026673659;1,494339258;0,08698865;0,00047964;0,123417202;0,000126635;0,008134881;1,356995736;0,013287599;0,093263505;0,00165041;0,002465066
BN;Brunei;2016;26,96;2736,61;85,76;0,02754304;1,448262377;0,087883989;0,000438634;0,121874681;0,000118974;0,009251506;1,337432995;0,011681798;0,094539677;0,00165041;0,002516262
BN;Brunei;2017;26,62;3406,17;86,64;0,026058984;1,346723125;0,086119064;0,000605427;0,169148782;0,000215412;0,008911642;1,330743199;0,011442287;0,095966;0,001679682;0,002586927
